# center_GeV,density_per_GeV,count
6.2500000000000001e-05,165.91999999999999,2074
0.0001875,156.80000000000001,1960
0.00031250000000000001,150.16,1877
0.00043750000000000001,147.68000000000001,1846
0.00056250000000000007,148.96000000000001,1862
0.00068749999999999996,142.47999999999999,1781
0.00081250000000000007,136.47999999999999,1706
0.00093749999999999997,134,1675
0.0010625000000000001,130.96000000000001,1637
0.0011875,128.24000000000001,1603
0.0013125000000000001,119.76000000000001,1497
0.0014375,124.72,1559
0.0015625000000000001,112.64,1408
0.0016875,116.72,1459
0.0018125000000000001,109.76000000000001,1372
0.0019375,107.04000000000001,1338
0.0020625000000000001,108.95999999999999,1362
0.0021875000000000002,105.92,1324
0.0023124999999999999,100.8,1260
0.0024375,98.159999999999997,1227
0.0025625000000000001,100.40000000000001,1255
0.0026875000000000002,100,1250
0.0028124999999999999,89.439999999999998,1118
0.0029375,95.040000000000006,1188
0.0030625000000000001,92.640000000000001,1158
0.0031875000000000002,94.079999999999998,1176
0.0033124999999999999,89.760000000000005,1122
0.0034375,87.040000000000006,1088
0.0035625000000000001,82.719999999999999,1034
0.0036875000000000002,85.120000000000005,1064
0.0038124999999999999,91.359999999999999,1142
0.0039375,83.040000000000006,1038
0.0040625000000000001,79.519999999999996,994
0.0041875000000000002,79.920000000000002,999
0.0043125000000000004,78.959999999999994,987
0.0044375000000000005,81.120000000000005,1014
0.0045624999999999997,80.079999999999998,1001
0.0046874999999999998,84,1050
0.0048124999999999999,83.120000000000005,1039
0.0049375,86.319999999999993,1079
0.0050625000000000002,81.280000000000001,1016
0.0051875000000000003,82.799999999999997,1035
0.0053125000000000004,84.159999999999997,1052
0.0054375000000000005,86.959999999999994,1087
0.0055624999999999997,85.359999999999999,1067
0.0056874999999999998,89.359999999999999,1117
0.0058125,88.719999999999999,1109
0.0059375000000000001,88.560000000000002,1107
0.0060625000000000002,88.640000000000001,1108
0.0061875000000000003,92.079999999999998,1151
0.0063125000000000004,95.599999999999994,1195
0.0064375000000000005,96.799999999999997,1210
0.0065624999999999998,98,1225
0.0066874999999999999,99.200000000000003,1240
0.0068125,102.48,1281
0.0069375000000000001,106.72,1334
0.0070625000000000002,106.72,1334
0.0071875000000000003,109.2,1365
0.0073125000000000004,111.12,1389
0.0074375000000000005,116.31999999999999,1454
0.0075624999999999998,114.23999999999999,1428
0.0076874999999999999,116.56,1457
0.0078125,125.28,1566
0.0079375000000000001,131.36000000000001,1642
0.0080625000000000002,128.56,1607
0.0081875000000000003,130,1625
0.0083125000000000004,136.24000000000001,1703
0.0084375000000000006,148.16,1852
0.0085625000000000007,145.44,1818
0.0086875000000000008,146.88,1836
0.0088125000000000009,147.59999999999999,1845
0.008937500000000001,161.28,2016
0.0090624999999999994,153.03999999999999,1913
0.0091874999999999995,15.44,193
0.0093124999999999996,0,0
0.0094374999999999997,0,0
0.0095624999999999998,0,0
0.0096874999999999999,0,0
0.0098125,0,0
0.0099375000000000002,0,0
