# center_GeV,density_per_GeV,count
6.2500000000000001e-05,161.08799999999999,5034
0.0001875,157.82400000000001,4932
0.00031250000000000001,152.57599999999999,4768
0.00043750000000000001,147.072,4596
0.00056250000000000007,143.072,4471
0.00068749999999999996,141.024,4407
0.00081250000000000007,137.82400000000001,4307
0.00093749999999999997,131.904,4122
0.0010625000000000001,130.36799999999999,4074
0.0011875,128.352,4011
0.0013125000000000001,124.512,3891
0.0014375,124.06399999999999,3877
0.0015625000000000001,116.416,3638
0.0016875,115.264,3602
0.0018125000000000001,111.008,3469
0.0019375,106.56,3330
0.0020625000000000001,110.208,3444
0.0021875000000000002,104.128,3254
0.0023124999999999999,102.14400000000001,3192
0.0024375,99.296000000000006,3103
0.0025625000000000001,100.288,3134
0.0026875000000000002,97.376000000000005,3043
0.0028124999999999999,91.808000000000007,2869
0.0029375,94.784000000000006,2962
0.0030625000000000001,92,2875
0.0031875000000000002,94.751999999999995,2961
0.0033124999999999999,88.224000000000004,2757
0.0034375,86.719999999999999,2710
0.0035625000000000001,85.760000000000005,2680
0.0036875000000000002,84.896000000000001,2653
0.0038124999999999999,87.328000000000003,2729
0.0039375,83.616,2613
0.0040625000000000001,82.335999999999999,2573
0.0041875000000000002,81.024000000000001,2532
0.0043125000000000004,78.207999999999998,2444
0.0044375000000000005,84.096000000000004,2628
0.0045624999999999997,80.128,2504
0.0046874999999999998,82.719999999999999,2585
0.0048124999999999999,82.304000000000002,2572
0.0049375,83.712000000000003,2616
0.0050625000000000002,80.671999999999997,2521
0.0051875000000000003,81.951999999999998,2561
0.0053125000000000004,84,2625
0.0054375000000000005,85.248000000000005,2664
0.0055624999999999997,88.287999999999997,2759
0.0056874999999999998,88.031999999999996,2751
0.0058125,87.456000000000003,2733
0.0059375000000000001,92.864000000000004,2902
0.0060625000000000002,89.855999999999995,2808
0.0061875000000000003,92.831999999999994,2901
0.0063125000000000004,95.135999999999996,2973
0.0064375000000000005,99.359999999999999,3105
0.0065624999999999998,97.983999999999995,3062
0.0066874999999999999,97.727999999999994,3054
0.0068125,103.392,3231
0.0069375000000000001,105.76000000000001,3305
0.0070625000000000002,107.392,3356
0.0071875000000000003,108.672,3396
0.0073125000000000004,112.95999999999999,3530
0.0074375000000000005,117.504,3672
0.0075624999999999998,114.464,3577
0.0076874999999999999,118.816,3713
0.0078125,125.12,3910
0.0079375000000000001,128.19200000000001,4006
0.0080625000000000002,126.78400000000001,3962
0.0081875000000000003,130.59200000000001,4081
0.0083125000000000004,136.03200000000001,4251
0.0084375000000000006,142.976,4468
0.0085625000000000007,144.80000000000001,4525
0.0086875000000000008,145.08799999999999,4534
0.0088125000000000009,150.52799999999999,4704
0.008937500000000001,159.19999999999999,4975
0.0090624999999999994,159.26400000000001,4977
0.0091874999999999995,14.272,446
0.0093124999999999996,0,0
0.0094374999999999997,0,0
0.0095624999999999998,0,0
0.0096874999999999999,0,0
0.0098125,0,0
0.0099375000000000002,0,0
