# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
8.3333333333333331e-05,0.014833333333333332,1260,7
8.3333333333333331e-05,0.015166666666666667,1620,9
8.3333333333333331e-05,0.0155,1080,6
8.3333333333333331e-05,0.015833333333333331,1080,6
8.3333333333333331e-05,0.016166666666666666,540,3
8.3333333333333331e-05,0.016500000000000001,1260,7
8.3333333333333331e-05,0.016833333333333332,540,3
8.3333333333333331e-05,0.017166666666666667,900,5
8.3333333333333331e-05,0.017499999999999998,1080,6
8.3333333333333331e-05,0.017833333333333333,1260,7
8.3333333333333331e-05,0.018166666666666668,180,1
8.3333333333333331e-05,0.018499999999999999,720,4
8.3333333333333331e-05,0.018833333333333334,1440,8
8.3333333333333331e-05,0.019166666666666665,1080,6
8.3333333333333331e-05,0.0195,720,4
8.3333333333333331e-05,0.019833333333333331,540,3
0.00025000000000000001,0.00016666666666666666,180,1
0.00025000000000000001,0.00050000000000000001,900,5
0.00025000000000000001,0.00083333333333333328,3600,20
0.00025000000000000001,0.0011666666666666665,7560,42
0.00025000000000000001,0.0015,12240,68
0.00025000000000000001,0.0018333333333333333,20880,116
0.00025000000000000001,0.0021666666666666666,38880,216
0.00025000000000000001,0.0025000000000000001,42300,235
0.00025000000000000001,0.0028333333333333331,54180,301
0.00025000000000000001,0.0031666666666666666,57420,319
0.00025000000000000001,0.0035000000000000001,59760,332
0.00025000000000000001,0.0038333333333333331,48600,270
0.00025000000000000001,0.0041666666666666666,43020,239
0.00025000000000000001,0.0044999999999999997,30060,167
0.00025000000000000001,0.0048333333333333336,21600,120
0.00025000000000000001,0.0051666666666666666,9360,52
0.00025000000000000001,0.0054999999999999997,5400,30
0.00025000000000000001,0.0058333333333333327,1440,8
0.00025000000000000001,0.0061666666666666667,720,4
0.00025000000000000001,0.0064999999999999997,540,3
0.00025000000000000001,0.0068333333333333328,180,1
0.00025000000000000001,0.0071666666666666667,0,0
0.00025000000000000001,0.0074999999999999997,0,0
0.00025000000000000001,0.0078333333333333328,0,0
0.00025000000000000001,0.0081666666666666658,0,0
0.00025000000000000001,0.0084999999999999989,0,0
0.00025000000000000001,0.0088333333333333337,0,0
0.00025000000000000001,0.0091666666666666667,0,0
0.00025000000000000001,0.0094999999999999998,0,0
0.00025000000000000001,0.0098333333333333328,0,0
0.00025000000000000001,0.010166666666666666,0,0
0.00025000000000000001,0.010499999999999999,0,0
0.00025000000000000001,0.010833333333333334,0,0
0.00025000000000000001,0.011166666666666667,0,0
0.00025000000000000001,0.0115,0,0
0.00025000000000000001,0.011833333333333333,0,0
0.00025000000000000001,0.012166666666666666,0,0
0.00025000000000000001,0.012499999999999999,0,0
0.00025000000000000001,0.012833333333333334,0,0
0.00025000000000000001,0.013166666666666667,0,0
0.00025000000000000001,0.0135,0,0
0.00025000000000000001,0.013833333333333333,0,0
0.00025000000000000001,0.014166666666666666,0,0
0.00025000000000000001,0.014499999999999999,0,0
0.00025000000000000001,0.014833333333333332,0,0
0.00025000000000000001,0.015166666666666667,0,0
0.00025000000000000001,0.0155,0,0
0.00025000000000000001,0.015833333333333331,0,0
0.00025000000000000001,0.016166666666666666,0,0
0.00025000000000000001,0.016500000000000001,0,0
0.00025000000000000001,0.016833333333333332,0,0
0.00025000000000000001,0.017166666666666667,0,0
0.00025000000000000001,0.017499999999999998,0,0
0.00025000000000000001,0.017833333333333333,0,0
0.00025000000000000001,0.018166666666666668,0,0
0.00025000000000000001,0.018499999999999999,0,0
0.00025000000000000001,0.018833333333333334,0,0
0.00025000000000000001,0.019166666666666665,0,0
0.00025000000000000001,0.0195,0,0
0.00025000000000000001,0.019833333333333331,0,0
0.00041666666666666664,0.00016666666666666666,1080,6
0.00041666666666666664,0.00050000000000000001,6480,36
0.00041666666666666664,0.00083333333333333328,9180,51
0.00041666666666666664,0.0011666666666666665,20160,112
0.00041666666666666664,0.0015,34560,192
0.00041666666666666664,0.0018333333333333333,47700,265
0.00041666666666666664,0.0021666666666666666,56160,312
0.00041666666666666664,0.0025000000000000001,58500,325
0.00041666666666666664,0.0028333333333333331,57960,322
0.00041666666666666664,0.0031666666666666666,53820,299
0.00041666666666666664,0.0035000000000000001,40500,225
0.00041666666666666664,0.0038333333333333331,26820,149
0.00041666666666666664,0.0041666666666666666,14220,79
0.00041666666666666664,0.0044999999999999997,8640,48
