# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
8.3333333333333331e-05,0.00016666666666666666,0,0
8.3333333333333331e-05,0.00050000000000000001,0,0
8.3333333333333331e-05,0.00083333333333333328,0,0
8.3333333333333331e-05,0.0011666666666666665,0,0
8.3333333333333331e-05,0.0015,0,0
8.3333333333333331e-05,0.0018333333333333333,0,0
8.3333333333333331e-05,0.0021666666666666666,0,0
8.3333333333333331e-05,0.0025000000000000001,0,0
8.3333333333333331e-05,0.0028333333333333331,0,0
8.3333333333333331e-05,0.0031666666666666666,0,0
8.3333333333333331e-05,0.0035000000000000001,0,0
8.3333333333333331e-05,0.0038333333333333331,36541.863556106488,1.338213412783913e-31
8.3333333333333331e-05,0.0041666666666666666,73391.602385742459,2.6877016424602124e-31
8.3333333333333331e-05,0.0044999999999999997,44959.628534799704,1.6464835693634753e-31
8.3333333333333331e-05,0.0048333333333333336,65901.921251905747,2.4134191955514529e-31
8.3333333333333331e-05,0.0051666666666666666,0,0
8.3333333333333331e-05,0.0054999999999999997,37161.477883316467,1.3609045435236562e-31
8.3333333333333331e-05,0.0058333333333333327,37265.787329162325,1.3647244992108276e-31
8.3333333333333331e-05,0.0061666666666666667,0,0
8.3333333333333331e-05,0.0064999999999999997,37370.394090298127,1.3685553429937364e-31
8.3333333333333331e-05,0.0068333333333333328,0,0
8.3333333333333331e-05,0.0071666666666666667,30188.434652622345,1.1055420887624356e-31
8.3333333333333331e-05,0.0074999999999999997,7286.8635368399873,2.6685498694266094e-32
8.3333333333333331e-05,0.0078333333333333328,0,0
8.3333333333333331e-05,0.0081666666666666658,0,0
8.3333333333333331e-05,0.0084999999999999989,22026.348405619847,8.0663523976533292e-32
8.3333333333333331e-05,0.0088333333333333337,15554.151243778833,5.696144584124822e-32
8.3333333333333331e-05,0.0091666666666666667,0,0
8.3333333333333331e-05,0.0094999999999999998,0,0
8.3333333333333331e-05,0.0098333333333333328,0,0
8.3333333333333331e-05,0.010166666666666666,0,0
8.3333333333333331e-05,0.010499999999999999,0,0
8.3333333333333331e-05,0.010833333333333334,0,0
8.3333333333333331e-05,0.011166666666666667,37685.998492848856,1.3801132112447238e-31
8.3333333333333331e-05,0.0115,0,0
8.3333333333333331e-05,0.011833333333333333,0,0
8.3333333333333331e-05,0.012166666666666666,0,0
8.3333333333333331e-05,0.012499999999999999,0,0
