# center_rad,density_per_rad,count
0.000125,92,2300
0.00037500000000000001,263.60000000000002,6590
0.00062500000000000001,388.72000000000003,9718
0.00087500000000000002,480.60000000000002,12015
0.0011250000000000001,493.12,12328
0.0013749999999999999,469.63999999999999,11741
0.0016250000000000001,422.75999999999999,10569
0.0018749999999999999,341.56,8539
0.0021250000000000002,270.75999999999999,6769
0.0023749999999999999,202.72,5068
0.0026250000000000002,144.96000000000001,3624
0.002875,104.52,2613
0.0031250000000000002,74,1850
0.003375,52.640000000000001,1316
0.0036250000000000002,37.520000000000003,938
0.003875,25.68,642
0.0041250000000000002,21.079999999999998,527
0.0043750000000000004,15.92,398
0.0046249999999999998,13.68,342
0.004875,10.199999999999999,255
0.0051250000000000002,7.8799999999999999,197
0.0053750000000000004,5.4800000000000004,137
0.0056249999999999998,5.6399999999999997,141
0.005875,5,125
0.0061250000000000002,4.3200000000000003,108
0.0063750000000000005,4.2400000000000002,106
0.0066249999999999998,3.96,99
0.006875,3.1200000000000001,78
0.0071250000000000003,2.2400000000000002,56
0.0073750000000000005,2.4399999999999999,61
0.0076249999999999998,1.6799999999999999,42
0.0078750000000000001,2,50
0.0081250000000000003,1.6399999999999999,41
0.0083750000000000005,0.95999999999999996,24
0.0086250000000000007,1.72,43
0.0088750000000000009,1.48,37
0.0091249999999999994,1.1599999999999999,29
0.0093749999999999997,1.1200000000000001,28
0.0096249999999999999,1,25
0.0098750000000000001,0.83999999999999997,21
0.010125,1.04,26
0.010375000000000001,0.64000000000000001,16
0.010625000000000001,0.76000000000000001,19
0.010875000000000001,0.40000000000000002,10
0.011124999999999999,0.64000000000000001,16
0.011375,0.28000000000000003,7
0.011625,0.32000000000000001,8
0.011875,0.47999999999999998,12
0.012125,0.47999999999999998,12
0.012375000000000001,0.64000000000000001,16
0.012625000000000001,0.59999999999999998,15
0.012875000000000001,0.35999999999999999,9
0.013125,0.40000000000000002,10
0.013375,0.40000000000000002,10
0.013625,0.40000000000000002,10
0.013875,0.32000000000000001,8
0.014125,0.32000000000000001,8
0.014375000000000001,0.32000000000000001,8
0.014625000000000001,0.16,4
0.014875000000000001,0.28000000000000003,7
0.015125,0.32000000000000001,8
0.015375,0.12,3
0.015625,0.20000000000000001,5
0.015875,0.20000000000000001,5
0.016125,0.12,3
0.016375000000000001,0.20000000000000001,5
0.016625000000000001,0.080000000000000002,2
0.016875000000000001,0.12,3
0.017125000000000001,0.12,3
0.017375000000000002,0.23999999999999999,6
0.017625000000000002,0.12,3
0.017875000000000002,0.23999999999999999,6
0.018124999999999999,0.040000000000000001,1
0.018374999999999999,0.12,3
0.018624999999999999,0.080000000000000002,2
0.018874999999999999,0.28000000000000003,7
0.019125,0.20000000000000001,5
0.019375,0.16,4
0.019625,0.080000000000000002,2
0.019875,0.080000000000000002,2
