# center_rad,density_per_rad,count
0.000125,952.52800000000002,59533
0.00037500000000000001,1007.2,62950
0.00062500000000000001,607.82399999999996,37989
0.00087500000000000002,408.31999999999999,25520
0.0011250000000000001,273.96800000000002,17123
0.0013749999999999999,185.952,11622
0.0016250000000000001,128.44800000000001,8028
0.0018749999999999999,89.727999999999994,5608
0.0021250000000000002,64.480000000000004,4030
0.0023749999999999999,48.975999999999999,3061
0.0026250000000000002,38.304000000000002,2394
0.002875,28.544,1784
0.0031250000000000002,22.847999999999999,1428
0.003375,18.576000000000001,1161
0.0036250000000000002,16.064,1004
0.003875,13.087999999999999,818
0.0041250000000000002,10.800000000000001,675
0.0043750000000000004,8.6720000000000006,542
0.0046249999999999998,7.4880000000000004,468
0.004875,7.0720000000000001,442
0.0051250000000000002,5.6319999999999997,352
0.0053750000000000004,4.7359999999999998,296
0.0056249999999999998,4.2240000000000002,264
0.005875,3.6320000000000001,227
0.0061250000000000002,3.3599999999999999,210
0.0063750000000000005,3.2320000000000002,202
0.0066249999999999998,2.448,153
0.006875,2.2240000000000002,139
0.0071250000000000003,2.1760000000000002,136
0.0073750000000000005,1.8400000000000001,115
0.0076249999999999998,1.8240000000000001,114
0.0078750000000000001,1.8720000000000001,117
0.0081250000000000003,1.6799999999999999,105
0.0083750000000000005,1.248,78
0.0086250000000000007,1.008,63
0.0088750000000000009,0.97599999999999998,61
0.0091249999999999994,0.80000000000000004,50
0.0093749999999999997,0.99199999999999999,62
0.0096249999999999999,0.92800000000000005,58
0.0098750000000000001,0.80000000000000004,50
0.010125,0.68799999999999994,43
0.010375000000000001,0.68799999999999994,43
0.010625000000000001,0.73599999999999999,46
0.010875000000000001,0.624,39
0.011124999999999999,0.432,27
0.011375,0.51200000000000001,32
0.011625,0.47999999999999998,30
0.011875,0.46400000000000002,29
0.012125,0.51200000000000001,32
0.012375000000000001,0.35199999999999998,22
0.012625000000000001,0.46400000000000002,29
0.012875000000000001,0.35199999999999998,22
0.013125,0.36799999999999999,23
0.013375,0.36799999999999999,23
0.013625,0.36799999999999999,23
0.013875,0.27200000000000002,17
0.014125,0.32000000000000001,20
0.014375000000000001,0.33600000000000002,21
0.014625000000000001,0.14399999999999999,9
0.014875000000000001,0.14399999999999999,9
0.015125,0.224,14
0.015375,0.16,10
0.015625,0.28799999999999998,18
0.015875,0.14399999999999999,9
0.016125,0.080000000000000002,5
0.016375000000000001,0.25600000000000001,16
0.016625000000000001,0.224,14
0.016875000000000001,0.128,8
0.017125000000000001,0.112,7
0.017375000000000002,0.20799999999999999,13
0.017625000000000002,0.192,12
0.017875000000000002,0.128,8
0.018124999999999999,0.16,10
0.018374999999999999,0.128,8
0.018624999999999999,0.128,8
0.018874999999999999,0.032000000000000001,2
0.019125,0.16,10
0.019375,0.096000000000000002,6
0.019625,0.14399999999999999,9
0.019875,0.064000000000000001,4
