z,delta_x
0.0,0.0
0.023662083,0.0002702606518358039
0.047315993,0.00010065013359559106
0.07095356,0.0002494486520944403
0.09456662,0.00017698957296268143
0.11814702,0.000205725917765044
0.1416866,0.00023276426704871116
0.16517725,0.00014064126843318057
0.18861085,0.0002680804988479252
0.2119793,5.323171461716833e-05
0.23527454,0.0002794515614849141
0.25848851,5.817721461716385e-05
0.28161319,0.0002673649448020274
0.30464061,0.00014618116695923333
0.3275628,0.0002337877189593912
0.35037186,0.00021373043397712732
0.37305989,0.00017777897765362816
0.39561907,0.00026319681005586293
0.41804161,9.984958186601278e-05
0.44031975,0.0002886947326452005
0.4624458,9.153096943936845e-06
0.48441213,0.0002909607009461135
0.50621114,0.00011508221719458422
0.5278353,0.00026977736125656515
0.54927715,0.00019764061780104536
0.57052928,0.00022188425641028742
0.59158435,0.0002604665705128184
0.61243508,0.00014911464480876768
0.63307428,0.00030412606557375654
0.65349481,5.080969092940979e-05
0.67368963,0.0003228066203807556
0.69365175,7.638497200446182e-05
0.71337429,0.00031526261449937865
0.73285042,0.000183977912543154
0.75207343,0.0002794707466224622
0.77103667,0.00026129731215923657
0.7897336,0.00020858891064873264
0.80815775,0.000324408702570389
0.82630276,0.00011563585297846846
0.84416236,0.00036479049176174616
0.8617304,2.7225893536153567e-05
0.87900079,0.0003700272801474558
0.89596757,0.00014980681674564567
