dt,final_position_error,max_position_error,rms_position_error,l2_position_error,final_tangent_error_rad,final_tangent_error_deg,final_x,final_z,final_tx,final_tz,curve_csv,discrepancy_csv,l2_second_order_reference
2e-10,5.921945488325008e-05,5.921945488325008e-05,3.494197650459256e-05,3.326736895899945e-05,0.004886153646675935,0.2799559820069875,-0.3729527050293514,0.9003676784259007,-0.7036433216641678,0.7105533589234636,sbend_dt_2.0em10_curve.csv,sbend_dt_2.0em10_discrepancy.csv,3.326736895899945e-05
1e-10,2.058958610966544e-05,2.058958610966544e-05,8.783379491946775e-06,8.354816143431478e-06,0.004818622026376159,0.27608670518013034,-0.37292281488005036,0.900336901586665,-0.7036913048792872,0.7105058391296204,sbend_dt_1.0em10_curve.csv,sbend_dt_1.0em10_discrepancy.csv,8.316842239749863e-06
5e-11,1.4197850849824158e-05,1.4197850849824158e-05,2.5713255380932837e-06,2.218656355042838e-06,0.00015598022659316733,0.008937008671282736,-0.372935491752784,0.9003091611927904,-0.7069964779089316,0.7072170672603749,sbend_dt_5.0em11_curve.csv,sbend_dt_5.0em11_discrepancy.csv,2.079210559937466e-06
2e-11,9.452378082456495e-07,9.452378082456495e-07,3.433112170925881e-07,3.38567746548742e-07,0.0010787031055167536,0.06180513529376509,-0.3729231161896683,0.9003172546896651,-0.7063436116589042,0.7078691279245445,sbend_dt_2.0em11_curve.csv,sbend_dt_2.0em11_discrepancy.csv,3.3267368958999446e-07
1e-11,5.582584187500018e-07,5.582584187500018e-07,9.498870223632219e-08,9.22901148770779e-08,0.00014940447144788595,0.008560245654346677,-0.3729237189274848,0.9003160493052739,-0.7070011283792582,0.7072124182100141,sbend_dt_1.0em11_curve.csv,sbend_dt_1.0em11_discrepancy.csv,8.316842239749862e-08
5e-12,4.551678624938691e-08,4.551678624938691e-08,2.473657493368106e-08,2.4672209842073395e-08,0.0001494044729340838,0.00856024573949954,-0.3729232473252703,0.9003163576338442,-0.7070011283793375,0.7072124182099346,sbend_dt_5.0em12_curve.csv,sbend_dt_5.0em12_discrepancy.csv,2.0792105599374654e-08
2e-12,2.1745863720144947e-07,2.1745863720144947e-07,1.3926276329748827e-08,1.0211029858673442e-08,0.00011055964026341216,0.006334600771578162,-0.3729233928194726,0.9003161736333671,-0.7070285993935356,0.7071849543362864,sbend_dt_2.0em12_curve.csv,sbend_dt_2.0em12_discrepancy.csv,3.3267368958999456e-09
1e-12,2.8652960486478163e-07,2.8652960486478163e-07,1.4080652657199336e-08,7.1972691168144e-09,0.00019422639400650072,0.01112835264661752,-0.37292343027636565,0.9003161126454194,-0.7069694290498276,0.7072441066484475,sbend_dt_1.0em12_curve.csv,sbend_dt_1.0em12_discrepancy.csv,8.316842239749864e-10
5e-13,3.136158772957807e-07,3.136158772957807e-07,1.9544311693589907e-08,1.4591640315508565e-08,0.0002450233320248031,0.014038802807253881,-0.37292343495055863,0.9003160800103108,-0.7069335023025505,0.7072800176183757,sbend_dt_5.0em13_curve.csv,sbend_dt_5.0em13_discrepancy.csv,2.079210559937466e-10
