case,code,final_z,final_x,final_tx,final_ty,final_tz
sbend_proton_590MeV_45deg,BMAD,0.90032,-0.37292,-0.70711,0.0,0.70711
sbend_proton_590MeV_45deg,OPALX,0.900336901586665,-0.37292281488005036,-0.7036913048792872,0.0,0.7105058391296204
sbend_proton_590MeV_45deg,ANALYTIC,0.9003163161571061,-0.3729232285780566,-0.7071067811865475,0.0,0.7071067811865476
rbend_electron_1GeV_45deg,BMAD,1.0,-0.41421,-0.70711,0.0,0.70711
rbend_electron_1GeV_45deg,OPALX,0.9999998729019618,-0.41421386921490283,-0.7069916923302045,0.0,0.707221851314051
