z,x
0.68912338,-0.17926054
0.69173975,-0.18072415
0.69435301,-0.18219331
0.69696315,-0.183668
0.69957015,-0.18514823
0.70217402,-0.18663397
0.70477473,-0.18812523
0.70737227,-0.18962201
0.70996663,-0.19112428
0.7125578,-0.19263205
0.71514577,-0.19414531
0.71773053,-0.19566406
0.72031206,-0.19718828
0.72289035,-0.19871797
0.7254654,-0.20025312
0.72803718,-0.20179372
0.73060569,-0.20333978
0.73317092,-0.20489127
0.73573286,-0.2064482
0.73829149,-0.20801056
0.7408468,-0.20957834
0.74339878,-0.21115153
0.74594743,-0.21273013
0.74849271,-0.21431413
0.75103464,-0.21590352
0.75357319,-0.21749829
0.75610836,-0.21909844
0.75864012,-0.22070396
0.76116848,-0.22231485
0.76369342,-0.22393109
0.76621492,-0.22555268
0.76873299,-0.22717961
0.77124759,-0.22881188
0.77375874,-0.23044947
0.7762664,-0.23209239
0.77877058,-0.23374061
0.78127125,-0.23539414
0.78376842,-0.23705297
0.78626206,-0.23871709
0.78875218,-0.24038649
0.79123874,-0.24206116
0.79372175,-0.2437411
0.7962012,-0.2454263
0.79867706,-0.24711676
0.80114934,-0.24881246
0.80361801,-0.25051339
0.80608308,-0.25221956
0.80854452,-0.25393094
0.81100233,-0.25564754
0.8134565,-0.25736935
0.81590701,-0.25909636
0.81835385,-0.26082855
0.82079702,-0.26256593
0.82323649,-0.26430849
0.82567227,-0.26605621
0.82810434,-0.26780909
0.83053268,-0.26956713
0.8329573,-0.2713303
0.83537817,-0.27309862
0.83779528,-0.27487206
0.84020864,-0.27665062
0.84261821,-0.27843429
0.845024,-0.28022307
0.84742599,-0.28201694
0.84982418,-0.2838159
0.85221854,-0.28561994
0.85460908,-0.28742906
0.85699577,-0.28924323
0.85937862,-0.29106246
0.8617576,-0.29288674
0.86413271,-0.29471606
0.86650393,-0.29655041
0.86887127,-0.29838978
0.87123469,-0.30023416
0.87359421,-0.30208355
0.87594979,-0.30393794
0.87830144,-0.30579732
0.88064915,-0.30766168
0.88299289,-0.30953101
0.88533267,-0.3114053
0.88766847,-0.31328455
0.89000028,-0.31516875
0.8923281,-0.31705789
0.8946519,-0.31895196
0.89697168,-0.32085095
0.89928743,-0.32275485
0.90159914,-0.32466366
0.9039068,-0.32657736
0.90621039,-0.32849595
0.90850991,-0.33041942
0.91080535,-0.33234776
0.9130967,-0.33428097
0.91538395,-0.33621902
0.91766708,-0.33816192
0.91994609,-0.34010966
0.92222096,-0.34206222
0.92449169,-0.3440196
0.92675826,-0.34598179
0.92902067,-0.34794878
0.93127891,-0.34992056
0.93353296,-0.35189712
0.93578281,-0.35387846
0.93802846,-0.35586456
0.9402699,-0.35785542
0.9425071,-0.35985103
0.94474008,-0.36185137
0.94696881,-0.36385644
0.94919328,-0.36586624
0.95141349,-0.36788074
0.95362942,-0.36989994
0.95584107,-0.37192384
0.95804842,-0.37395243
0.96025146,-0.37598568
0.96245019,-0.37802361
0.9646446,-0.38006619
0.96683467,-0.38211341
0.9690204,-0.38416528
0.97120177,-0.38622177
0.97337877,-0.38828288
0.97555141,-0.3903486
0.97771966,-0.39241893
0.97988351,-0.39449384
0.98204296,-0.39657334
0.984198,-0.39865741
0.98634862,-0.40074605
0.9884948,-0.40283924
0.99063655,-0.40493697
0.99277384,-0.40703924
0.99490666,-0.40914604
0.99703502,-0.41125735
0.9991589,-0.41337317
0.9999998729019618,-0.41421386921490283
