z,delta_x
0.0,0.0
0.00029979242,6.175425245116359e-06
0.0032977136,6.443428050219028e-05
0.00629562,0.00011633769255441478
0.0092934981,0.00016188542635523615
0.012291334,0.0002010772694052019
0.015289115,0.0002339130607508556
0.018286828,0.000260392661156742
0.021284458,0.0002805159200479124
0.024281993,0.00029428277196440796
0.027279418,0.00030169313633127994
0.030276721,0.0003027469946885694
0.033273888,0.0002974443471663245
0.036270905,0.0002857851938945928
0.039267759,0.0002677696057084189
0.042264437,0.00024339766344284744
0.045260925,0.0002126694772279261
0.048257209,0.00017558515719370306
0.051253277,0.00013214491488021906
0.054249114,8.234891971252586e-05
0.057244708,2.6197383230663722e-05
0.060240044,3.811352276311274e-05
0.06323511,9.308292207747663e-05
0.066229891,0.0001416858371271854
0.069224375,0.00018392212331162197
0.072218548,0.00021979161193006478
0.075212396,0.00024929403428179675
0.078205906,0.0002724292837161472
0.081199065,0.0002891974535824478
0.084191859,0.0002995981751799789
0.087184274,0.00030363157980802273
0.090176298,0.00030129762286595875
0.093167916,0.0002925962736030174
0.096159116,0.0002775275874185813
0.099149884,0.00025609169561193
0.10214021,0.00022828887768255044
0.10513007,0.00019411854442920838
0.10811946,0.00015358144765169768
0.11110836,0.00010667744634898935
0.11409677,5.340754052108286e-05
0.11708466,6.459129922613792e-06
0.12007203,6.487273602751552e-05
0.12305886,0.00011689814557179837
0.12604513,0.00016253438460877168
0.12903084,0.00020178275313843634
0.13201597,0.00023464227721410342
0.1350005,0.0002611122828890793
0.13798443,0.0002811938701633701
0.14096774,0.00029488626509028507
0.14395041,0.00030218889372313033
0.14693244,0.000303102956061908
0.14991381,0.0002976278781599319
0.1528945,0.00028576288607050707
0.15587451,0.0002675094797936362
0.15885381,0.0002428659484092887
0.1618324,0.0002118339919174525
0.16481027,0.00017441387334479752
0.16778739,0.0001306040817712819
0.17076376,8.040601719690177e-05
0.17373937,2.382084264832343e-05
0.17671419,3.587114004149211e-05
0.17968822,9.156675726141282e-05
0.18266144,0.00014084031950207555
0.18563384,0.0001836923692946045
0.1886054,0.00022012199170124563
0.19157612,0.00025013018672198975
0.19454598,0.00027371703941908923
0.19751496,0.0002908806348547715
0.20048306,0.0003016229730290459
0.20345025,0.0003059426815352692
0.20641653,0.0003038397603734415
0.20938188,0.0002953142946058099
0.2123463,0.0002803682842323664
0.21530975,0.0002589978993775936
0.21827224,0.00023120659751037567
0.22123375,0.0001969934636929481
0.22419427,0.00015635904045643162
0.22715377,0.00010930095539419399
0.23011226,5.582366597510491e-05
0.23306971,8.636518711926944e-06
0.23602612,6.771832811140396e-05
0.23898146,0.00012033180243690295
0.24193573,0.00016648094168842525
0.24488892,0.00020616586422976882
0.247841,0.00023938192515230924
0.25079197,0.0002661331244560444
0.25374181,0.0002864166988685857
0.25669051,0.0003002337667536957
0.25963806,0.0003075854464751962
0.26258444,0.00030846897476065685
0.26552964,0.00030288646997389534
0.26847365,0.0002908380504786784
0.27141645,0.00027232195300260983
0.27435804,0.0002473411775456985
0.27729839,0.0002158930791993051
0.28023749,0.0001779777763272379
0.28317533,0.00013359538729330184
0.2861119,8.274903046126894e-05
0.28904719,2.543682419495555e-05
0.29198118,3.755253906936526e-05
0.29491385,9.368256892010318e-05
0.2978452,0.00014329234152765657
0.30077521,0.00018637923178227433
0.30370387,0.00022294492712906372
0.30663116,0.0002529858024583054
0.30955708,0.00027650685776997586
0.31248161,0.0002935054679543553
0.31540473,0.0003039790079016752
0.31832643,0.0003079301650570701
0.3212467,0.0003053576268656766
0.32416553,0.0002962630807726088
0.32708291,0.0002806482142230088
0.32999881,0.0002585070895522387
0.33291323,0.00022984470676032376
0.33582616,0.00019466175329236474
0.33873757,0.0001529522914837586
0.34164746,0.00010472232133451609
0.34455582,4.997153028973855e-05
0.34746263,1.6082853087351356e-06
0.35036788,6.198554506743614e-05
0.35327155,0.00011577071611072048
0.35617364,0.00016296679843862127
0.35907412,0.00020356953087297125
0.36197299,0.00023758191341377577
0.36487024,0.00026500419233500133
0.36776585,0.0002858358601845398
0.3706598,0.00030007340951029166
0.37355209,0.0003077208403122825
0.37644269,0.0003087728914123594
0.37933161,0.0003032373165365518
0.38221882,0.0002911078545067558
0.38510432,0.0002723895053229272
0.38798808,0.00024707700780696173
0.3908701,0.00021517336195883696
0.39375037,0.00017668081405253222
0.39662886,0.00013159410290988077
0.39950557,7.991722853086664e-05
0.40238049,2.1651437189490474e-05
0.4052536,3.4605837585334476e-05
0.40812489,9.278232123608593e-05
0.41099434,0.00014428505282070708
0.41386195,0.00018911703233919636
0.41672769,0.0002272726442687778
0.41959157,0.0002587590937837003
0.42245356,0.0002835707653611186
0.42531365,0.00030170745382679387
0.42817182,0.00031316874883219326
0.43102808,0.00031796185555156564
0.4338824,0.00031607915846210144
0.43673477,0.00030752345238950485
0.43958517,0.00029229132698528615
0.4424336,0.0002703877822493733
0.44528004,0.00024180940783327665
0.44812448,0.00020655899856270032
0.45096691,0.00016463634926339177
0.45380731,0.00011604004958679082
0.45664567,6.076989435860325e-05
0.45948198,1.221645035526242e-05
0.46231623,7.356007724540481e-05
0.46514839,0.00012813099271270778
0.46797847,0.00017593886044817153
0.47080644,0.00021697668937877002
0.4736323,0.0002512484795044734
0.47645603,0.0002787519034432445
0.47927762,0.0002994882975041052
0.48209706,0.0003134569979960089
0.48491432,0.00032065301384588685
0.48772941,0.0003210840087447542
0.49054231,0.0003147476553106293
0.493353,0.0003016406261614202
0.49616148,0.000281767921297138
0.49896773,0.0002551272133357735
0.50177173,0.00022171617489524786
0.50457348,0.0001815378059756012
0.50737296,0.0001345917791947676
0.51017016,8.08784308617555e-05
0.51296507,2.0399097285503376e-05
0.51575768,3.3498474074078466e-05
0.51854796,9.310980000001856e-05
0.52133592,0.00014584804444443822
0.52412153,0.0001917067796296107
0.52690479,0.00023068800555556268
0.52968568,0.00026278743703705976
0.53246419,0.00028801093148149437
0.53524031,0.00030635434629631975
0.53801402,0.0003178193962962844
0.54078531,0.00032240193888886937
0.54355418,0.00032011197407406933
0.5463206,0.00031093707407407745
0.54908457,0.0002948872388888746
0.55184607,0.0002719641833333064
0.55460509,0.00024215376481481754
0.55736161,0.0002054676981481235
0.56011563,0.0001618959833333128
0.56286714,0.00011145447777777262
0.56561612,5.4134896296256785e-05
0.56836255,3.883674585217212e-06
0.57110643,6.823037895928308e-05
0.57384774,0.0001255655995475169
0.57658648,0.0001758993363499134
0.57932262,0.00021922768099547074
0.58205616,0.0002555606334841698
0.58478709,0.00028488355769226703
0.58751538,0.00030720254524888024
0.59024104,0.00032251223227752757
0.59296404,0.00033081871040724353
0.59568438,0.0003321219796380004
0.59840205,0.00032641740384617424
0.60111702,0.0003137110746606331
0.60382929,0.00029400299208143243
0.60653885,0.0002672885199848929
0.60924569,0.00023356302224733505
0.61194978,0.00019284259049773267
0.61465113,0.00014511186085974792
0.61734971,9.037692496230432e-05
0.62004552,2.8637782805429612e-05
0.62273854,4.261495862994957e-05
0.62542877,0.00010436022705404002
0.62811618,0.00015896398499135045
0.63080077,0.00020641623244180285
0.63348253,0.0002467218222050871
0.63616144,0.00027988045988067145
0.63883749,0.0003058969982682458
0.64151067,0.00032475629016737173
0.64418097,0.00033647318837787266
0.64684837,0.0003410473984991058
0.64951287,0.00033846892053107647
0.65217444,0.00032874231287283173
0.65483309,0.000311862722724654
0.65748879,0.0002878447084856961
0.66014154,0.00025667827015588007
0.66279133,0.00021836826053492353
0.66543813,0.00017289923802191187
0.66808194,0.00012029120261689008
0.67072276,6.053415431980791e-05
0.67336055,8.118209366358986e-06
0.67599532,7.51858441558062e-05
0.67862706,0.00013495158992521405
0.68125574,0.00018740839826841826
