# center_rad,density_per_rad,count
0.000125,90.200000000000003,2255
0.00037500000000000001,265.60000000000002,6640
0.00062500000000000001,390.48000000000002,9762
0.00087500000000000002,477.31999999999999,11933
0.0011250000000000001,493.95999999999998,12349
0.0013749999999999999,469.16000000000003,11729
0.0016250000000000001,419.04000000000002,10476
0.0018749999999999999,343.44,8586
0.0021250000000000002,271.04000000000002,6776
0.0023749999999999999,203.44,5086
0.0026250000000000002,146.16,3654
0.002875,104.52,2613
0.0031250000000000002,75.400000000000006,1885
0.003375,51.240000000000002,1281
0.0036250000000000002,37.399999999999999,935
0.003875,27.079999999999998,677
0.0041250000000000002,21.559999999999999,539
0.0043750000000000004,15.279999999999999,382
0.0046249999999999998,13.119999999999999,328
0.004875,10.44,261
0.0051250000000000002,7.5599999999999996,189
0.0053750000000000004,6.96,174
0.0056249999999999998,5.3600000000000003,134
0.005875,4.8399999999999999,121
0.0061250000000000002,4.5199999999999996,113
0.0063750000000000005,3.5600000000000001,89
0.0066249999999999998,3.1600000000000001,79
0.006875,3.04,76
0.0071250000000000003,2.7200000000000002,68
0.0073750000000000005,2.2799999999999998,57
0.0076249999999999998,1.76,44
0.0078750000000000001,1.8799999999999999,47
0.0081250000000000003,1.76,44
0.0083750000000000005,1.28,32
0.0086250000000000007,1.5600000000000001,39
0.0088750000000000009,1.3999999999999999,35
0.0091249999999999994,1.3999999999999999,35
0.0093749999999999997,0.64000000000000001,16
0.0096249999999999999,0.92000000000000004,23
0.0098750000000000001,0.83999999999999997,21
0.010125,1.0800000000000001,27
0.010375000000000001,0.68000000000000005,17
0.010625000000000001,0.88,22
0.010875000000000001,0.40000000000000002,10
0.011124999999999999,0.80000000000000004,20
0.011375,0.40000000000000002,10
0.011625,0.40000000000000002,10
0.011875,0.56000000000000005,14
0.012125,0.52000000000000002,13
0.012375000000000001,0.32000000000000001,8
0.012625000000000001,0.47999999999999998,12
0.012875000000000001,0.35999999999999999,9
0.013125,0.35999999999999999,9
0.013375,0.35999999999999999,9
0.013625,0.35999999999999999,9
0.013875,0.35999999999999999,9
0.014125,0.40000000000000002,10
0.014375000000000001,0.44,11
0.014625000000000001,0.23999999999999999,6
0.014875000000000001,0.20000000000000001,5
0.015125,0.20000000000000001,5
0.015375,0.12,3
0.015625,0.12,3
0.015875,0.16,4
0.016125,0.20000000000000001,5
0.016375000000000001,0.20000000000000001,5
0.016625000000000001,0.12,3
0.016875000000000001,0.080000000000000002,2
0.017125000000000001,0.16,4
0.017375000000000002,0.12,3
0.017625000000000002,0.16,4
0.017875000000000002,0.28000000000000003,7
0.018124999999999999,0.080000000000000002,2
0.018374999999999999,0.12,3
0.018624999999999999,0.16,4
0.018874999999999999,0.20000000000000001,5
0.019125,0.28000000000000003,7
0.019375,0.16,4
0.019625,0.080000000000000002,2
0.019875,0.12,3
