# center_GeV,density_per_GeV,count
6.2500000000000001e-05,165.59999999999999,2070
0.0001875,157.12,1964
0.00031250000000000001,149.75999999999999,1872
0.00043750000000000001,147.91999999999999,1849
0.00056250000000000007,148.88,1861
0.00068749999999999996,142.31999999999999,1779
0.00081250000000000007,136.47999999999999,1706
0.00093749999999999997,134.16,1677
0.0010625000000000001,131.44,1643
0.0011875,128.24000000000001,1603
0.0013125000000000001,118.72,1484
0.0014375,124.64,1558
0.0015625000000000001,113.2,1415
0.0016875,116.16,1452
0.0018125000000000001,110.48,1381
0.0019375,107.59999999999999,1345
0.0020625000000000001,108.64,1358
0.0021875000000000002,105.44,1318
0.0023124999999999999,101.76000000000001,1272
0.0024375,96.959999999999994,1212
0.0025625000000000001,102.23999999999999,1278
0.0026875000000000002,98.879999999999995,1236
0.0028124999999999999,88.480000000000004,1106
0.0029375,96.480000000000004,1206
0.0030625000000000001,92.319999999999993,1154
0.0031875000000000002,93.599999999999994,1170
0.0033124999999999999,89.680000000000007,1121
0.0034375,87.599999999999994,1095
0.0035625000000000001,83.200000000000003,1040
0.0036875000000000002,84.400000000000006,1055
0.0038124999999999999,90.480000000000004,1131
0.0039375,84.640000000000001,1058
0.0040625000000000001,78.560000000000002,982
0.0041875000000000002,80.799999999999997,1010
0.0043125000000000004,78.719999999999999,984
0.0044375000000000005,80.159999999999997,1002
0.0045624999999999997,79.840000000000003,998
0.0046874999999999998,84.640000000000001,1058
0.0048124999999999999,82.719999999999999,1034
0.0049375,87.760000000000005,1097
0.0050625000000000002,80.719999999999999,1009
0.0051875000000000003,82.640000000000001,1033
0.0053125000000000004,83.680000000000007,1046
0.0054375000000000005,87.200000000000003,1090
0.0055624999999999997,84.719999999999999,1059
0.0056874999999999998,90.079999999999998,1126
0.0058125,88.079999999999998,1101
0.0059375000000000001,90.079999999999998,1126
0.0060625000000000002,87.680000000000007,1096
0.0061875000000000003,91.599999999999994,1145
0.0063125000000000004,94.879999999999995,1186
0.0064375000000000005,98.959999999999994,1237
0.0065624999999999998,96.640000000000001,1208
0.0066874999999999999,99.760000000000005,1247
0.0068125,102.23999999999999,1278
0.0069375000000000001,106.88,1336
0.0070625000000000002,107.36,1342
0.0071875000000000003,108.40000000000001,1355
0.0073125000000000004,112,1400
0.0074375000000000005,115.52,1444
0.0075624999999999998,115.2,1440
0.0076874999999999999,117.12,1464
0.0078125,123.04000000000001,1538
0.0079375000000000001,131.52000000000001,1644
0.0080625000000000002,128.16,1602
0.0081875000000000003,131.44,1643
0.0083125000000000004,136.96000000000001,1712
0.0084375000000000006,145.59999999999999,1820
0.0085625000000000007,146.08000000000001,1826
0.0086875000000000008,146.40000000000001,1830
0.0088125000000000009,148.63999999999999,1858
0.008937500000000001,162.16,2027
0.0090624999999999994,147.44,1843
0.0091874999999999995,20.399999999999999,255
0.0093124999999999996,0,0
0.0094374999999999997,0,0
0.0095624999999999998,0,0
0.0096874999999999999,0,0
0.0098125,0,0
0.0099375000000000002,0,0
