# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
8.3333333333333331e-05,0.00016666666666666666,0,0
8.3333333333333331e-05,0.00050000000000000001,0,0
8.3333333333333331e-05,0.00083333333333333328,0,0
8.3333333333333331e-05,0.0011666666666666665,0,0
8.3333333333333331e-05,0.0015,0,0
8.3333333333333331e-05,0.0018333333333333333,0,0
8.3333333333333331e-05,0.0021666666666666666,0,0
8.3333333333333331e-05,0.0025000000000000001,0,0
8.3333333333333331e-05,0.0028333333333333331,0,0
8.3333333333333331e-05,0.0031666666666666666,0,0
8.3333333333333331e-05,0.0035000000000000001,0,0
8.3333333333333331e-05,0.0038333333333333331,55152,766
8.3333333333333331e-05,0.0041666666666666666,62280,865
8.3333333333333331e-05,0.0044999999999999997,48168,669
8.3333333333333331e-05,0.0048333333333333336,42696,593
8.3333333333333331e-05,0.0051666666666666666,32616,453
8.3333333333333331e-05,0.0054999999999999997,27648,384
8.3333333333333331e-05,0.0058333333333333327,21744,302
8.3333333333333331e-05,0.0061666666666666667,21384,297
8.3333333333333331e-05,0.0064999999999999997,15696,218
8.3333333333333331e-05,0.0068333333333333328,13608,189
8.3333333333333331e-05,0.0071666666666666667,13104,182
8.3333333333333331e-05,0.0074999999999999997,10080,140
8.3333333333333331e-05,0.0078333333333333328,11520,160
8.3333333333333331e-05,0.0081666666666666658,9432,131
8.3333333333333331e-05,0.0084999999999999989,6624,92
8.3333333333333331e-05,0.0088333333333333337,6048,84
8.3333333333333331e-05,0.0091666666666666667,5040,70
8.3333333333333331e-05,0.0094999999999999998,6408,89
8.3333333333333331e-05,0.0098333333333333328,4392,61
8.3333333333333331e-05,0.010166666666666666,4392,61
8.3333333333333331e-05,0.010499999999999999,3888,54
8.3333333333333331e-05,0.010833333333333334,4032,56
8.3333333333333331e-05,0.011166666666666667,2880,40
8.3333333333333331e-05,0.0115,2520,35
8.3333333333333331e-05,0.011833333333333333,3096,43
8.3333333333333331e-05,0.012166666666666666,2952,41
8.3333333333333331e-05,0.012499999999999999,2592,36
8.3333333333333331e-05,0.012833333333333334,2016,28
8.3333333333333331e-05,0.013166666666666667,2016,28
8.3333333333333331e-05,0.0135,2520,35
8.3333333333333331e-05,0.013833333333333333,1656,23
8.3333333333333331e-05,0.014166666666666666,1800,25
8.3333333333333331e-05,0.014499999999999999,1728,24
8.3333333333333331e-05,0.014833333333333332,720,10
