# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
8.3333333333333331e-05,0.00016666666666666666,0,0
8.3333333333333331e-05,0.00050000000000000001,0,0
8.3333333333333331e-05,0.00083333333333333328,0,0
8.3333333333333331e-05,0.0011666666666666665,360,2
8.3333333333333331e-05,0.0015,1080,6
8.3333333333333331e-05,0.0018333333333333333,1800,10
8.3333333333333331e-05,0.0021666666666666666,3960,22
8.3333333333333331e-05,0.0025000000000000001,5220,29
8.3333333333333331e-05,0.0028333333333333331,7920,44
8.3333333333333331e-05,0.0031666666666666666,13500,75
8.3333333333333331e-05,0.0035000000000000001,21060,117
8.3333333333333331e-05,0.0038333333333333331,22680,126
8.3333333333333331e-05,0.0041666666666666666,34020,189
8.3333333333333331e-05,0.0044999999999999997,35460,197
8.3333333333333331e-05,0.0048333333333333336,37260,207
8.3333333333333331e-05,0.0051666666666666666,30240,168
8.3333333333333331e-05,0.0054999999999999997,30780,171
8.3333333333333331e-05,0.0058333333333333327,27540,153
8.3333333333333331e-05,0.0061666666666666667,25380,141
8.3333333333333331e-05,0.0064999999999999997,19620,109
8.3333333333333331e-05,0.0068333333333333328,18180,101
8.3333333333333331e-05,0.0071666666666666667,17100,95
8.3333333333333331e-05,0.0074999999999999997,10620,59
8.3333333333333331e-05,0.0078333333333333328,11160,62
8.3333333333333331e-05,0.0081666666666666658,10080,56
8.3333333333333331e-05,0.0084999999999999989,7920,44
8.3333333333333331e-05,0.0088333333333333337,9000,50
8.3333333333333331e-05,0.0091666666666666667,8280,46
8.3333333333333331e-05,0.0094999999999999998,4140,23
8.3333333333333331e-05,0.0098333333333333328,4680,26
8.3333333333333331e-05,0.010166666666666666,5760,32
8.3333333333333331e-05,0.010499999999999999,5220,29
8.3333333333333331e-05,0.010833333333333334,2700,15
8.3333333333333331e-05,0.011166666666666667,4140,23
8.3333333333333331e-05,0.0115,2520,14
8.3333333333333331e-05,0.011833333333333333,3060,17
8.3333333333333331e-05,0.012166666666666666,3240,18
8.3333333333333331e-05,0.012499999999999999,2340,13
8.3333333333333331e-05,0.012833333333333334,1980,11
8.3333333333333331e-05,0.013166666666666667,1620,9
8.3333333333333331e-05,0.0135,2520,14
8.3333333333333331e-05,0.013833333333333333,2340,13
8.3333333333333331e-05,0.014166666666666666,3060,17
8.3333333333333331e-05,0.014499999999999999,1800,10
